superclass_name_linked	superclass_iri	subclass_name	subclass_iri	Analysis	Recommended Mapping	Type of mapping issue	Status
olfactory sulcus	<http://purl.obolibrary.org/obo/UBERON_0002772>	olfactory sulcus	<https://purl.brain-bican.org/ontology/hbao/HBA_9361>	OK			
olfactory tract	<http://purl.obolibrary.org/obo/UBERON_0002265>	olfactory tract	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12073>	OK			
olfactory tract	<http://purl.obolibrary.org/obo/UBERON_0002265>	olfactory striae	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12074>	OK			
olfactory tract	<http://purl.obolibrary.org/obo/UBERON_0002265>	olfactory tract, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9302>	OK			
olfactory tubercle	<http://purl.obolibrary.org/obo/UBERON_0001883>	olfactory tubercle	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10310>	OK			
olfactory tubercle	<http://purl.obolibrary.org/obo/UBERON_0001883>	olfactory tubercle, left	<https://purl.brain-bican.org/ontology/hbao/HBA_10145>	OK			
olfactory tubercle	<http://purl.obolibrary.org/obo/UBERON_0001883>	olfactory tubercle	<https://purl.brain-bican.org/ontology/mbao/MBA_754>	OK			
olfactory tubercle	<http://purl.obolibrary.org/obo/UBERON_0001883>	olfactory tubercle	<https://purl.brain-bican.org/ontology/pbao/PBA_10096>	OK			
olivary pretectal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002565>	olivary pretectal nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12186>	OK			
olivary pretectal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002565>	olivary pretectal nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16589>	OK			
olivary pretectal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002565>	olivary pretectal nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_9086>	OK			
olivary pretectal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002565>	olivary pretectal nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_706>	OK			
olivocerebellar tract	<http://purl.obolibrary.org/obo/UBERON_0002752>	olivocerebellar tract	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12747>	OK			
olivocerebellar tract	<http://purl.obolibrary.org/obo/UBERON_0002752>	olivocerebellar tract	<https://purl.brain-bican.org/ontology/mbao/MBA_404>	OK			
olivocochlear bundle	<http://purl.obolibrary.org/obo/UBERON_0002775>	olivocochlear bundle	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12771>	OK			
opercular part of inferior frontal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002980>	inferior frontal gyrus, opercular part	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12119>	OK			
opercular part of inferior frontal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002980>	inferior frontal gyrus, opercular part	<https://purl.brain-bican.org/ontology/hbao/HBA_4041>	OK			
optic chiasma	<http://purl.obolibrary.org/obo/UBERON_0000959>	optic chiasm	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10644>	OK			
optic chiasma	<http://purl.obolibrary.org/obo/UBERON_0000959>	optic chiasm	<https://purl.brain-bican.org/ontology/dmbao/DMBA_17783>	OK			
optic chiasma	<http://purl.obolibrary.org/obo/UBERON_0000959>	optic chiasm, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9310>	OK			
optic chiasma	<http://purl.obolibrary.org/obo/UBERON_0000959>	optic chiasm	<https://purl.brain-bican.org/ontology/mbao/MBA_117>	OK			
optic radiation	<http://purl.obolibrary.org/obo/UBERON_0022264>	optic radiation	<https://purl.brain-bican.org/ontology/dhbao/DHBA_266441621>	OK			
optic radiation	<http://purl.obolibrary.org/obo/UBERON_0022264>	optic radiations, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9311>	OK			
optic tract	<http://purl.obolibrary.org/obo/UBERON_0001908>	optic tract	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10589>	OK			
optic tract	<http://purl.obolibrary.org/obo/UBERON_0001908>	optic tract	<https://purl.brain-bican.org/ontology/dmbao/DMBA_17785>	OK			
optic tract	<http://purl.obolibrary.org/obo/UBERON_0001908>	optic tract, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9309>	OK			
optic tract	<http://purl.obolibrary.org/obo/UBERON_0001908>	optic tract	<https://purl.brain-bican.org/ontology/mbao/MBA_125>	OK			
oral part of spinal trigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002591>	oral part of spinal trigeminal nucleus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9679>	OK			
oral part of spinal trigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002591>	spinal nucleus of the trigeminal, oral part	<https://purl.brain-bican.org/ontology/mbao/MBA_445>	OK			
oral pontine reticular nucleus	<http://purl.obolibrary.org/obo/UBERON_0002999>	pontine reticular nucleus, oral part	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12494>	OK			
oral pontine reticular nucleus	<http://purl.obolibrary.org/obo/UBERON_0002999>	oral pontine reticular nucleus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9166>	OK			
oral pontine reticular nucleus	<http://purl.obolibrary.org/obo/UBERON_0002999>	pontine reticular nucleus, ventral part	<https://purl.brain-bican.org/ontology/mbao/MBA_552>	OK			
oral pulvinar nucleus	<http://purl.obolibrary.org/obo/UBERON_0002641>	anterior nucleus of pulvinar	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10410>	OK			
oral pulvinar nucleus	<http://purl.obolibrary.org/obo/UBERON_0002641>	anterior nucleus of the pulvinar, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4411>	OK			
orbital operculum	<http://purl.obolibrary.org/obo/UBERON_0002593>	orbital operculum	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12128>	OK			
orbital part of inferior frontal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002624>	inferior frontal gyrus, orbital part	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12120>	OK			
orbital part of inferior frontal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002624>	inferior frontal gyrus, orbital part	<https://purl.brain-bican.org/ontology/hbao/HBA_4044>	OK			
orbital sulcus	<http://purl.obolibrary.org/obo/UBERON_0002595>	orbital sulcus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10625>	OK			
orbital sulcus	<http://purl.obolibrary.org/obo/UBERON_0002595>	orbital sulcus	<https://purl.brain-bican.org/ontology/hbao/HBA_9360>	OK			
orbitofrontal cortex	<http://purl.obolibrary.org/obo/UBERON_0004167>	orbital frontal cortex	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10194>	OK			
oval nucleus of stria terminalis	<http://purl.obolibrary.org/obo/UBERON_0011176>	bed nuclei of the stria terminalis, anterior division, oval nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_554>	OK			
paleocortex	<http://purl.obolibrary.org/obo/UBERON_0014735>	paleocortex (semicortex)	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10306>	OK			
pallidotegmental fasciculus	<http://purl.obolibrary.org/obo/UBERON_0002671>	pallidotegmental tract	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12078>	OK			
pallidotegmental fasciculus	<http://purl.obolibrary.org/obo/UBERON_0002671>	pallidotegmental fascicle	<https://purl.brain-bican.org/ontology/mbao/MBA_134>	OK			
pallidum	<http://purl.obolibrary.org/obo/UBERON_0006514>	pallidum	<https://purl.brain-bican.org/ontology/mbao/MBA_803>	OK			
pallium	<http://purl.obolibrary.org/obo/UBERON_0000203>	pallium	<https://purl.brain-bican.org/ontology/dmbao/DMBA_15903>	OK			
parabigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002140>	parabigeminal nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12312>	OK			
parabigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002140>	parabigeminal nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16862>	OK			
parabigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002140>	parabigeminal nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_9111>	OK			
parabigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002140>	parabigeminal nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_874>	OK			
parabrachial nucleus	<http://purl.obolibrary.org/obo/UBERON_0007634>	parabrachial nuclei	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12481>	OK			
parabrachial nucleus	<http://purl.obolibrary.org/obo/UBERON_0007634>	parabrachial complex	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16844>	OK			
parabrachial nucleus	<http://purl.obolibrary.org/obo/UBERON_0007634>	parabrachial nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_867>	OK			
parabrachial pigmental nucleus	<http://purl.obolibrary.org/obo/UBERON_0013738>	parabrachial pigmented nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12263>	OK			
parabrachial pigmental nucleus	<http://purl.obolibrary.org/obo/UBERON_0013738>	parabrachial pigmented nucleus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9473>	OK			
paracentral nucleus	<http://purl.obolibrary.org/obo/UBERON_0001924>	paracentral nucleus of thalamus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10446>	OK			
paracentral nucleus	<http://purl.obolibrary.org/obo/UBERON_0001924>	paracentral nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16416>	OK			
paracentral nucleus	<http://purl.obolibrary.org/obo/UBERON_0001924>	paracentral nucleus of the thalamus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4435>	OK			
paracentral nucleus	<http://purl.obolibrary.org/obo/UBERON_0001924>	paracentral nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_907>	OK			
paracentral sulcus	<http://purl.obolibrary.org/obo/UBERON_0002598>	paracentral sulcus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10633>	OK			
paracentral sulcus	<http://purl.obolibrary.org/obo/UBERON_0002598>	paracentral sulcus	<https://purl.brain-bican.org/ontology/hbao/HBA_9365>	OK			
paracingulate gyrus	<http://purl.obolibrary.org/obo/UBERON_0022398>	paracingulate gyrus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_146034872>	OK			
parafascicular nucleus	<http://purl.obolibrary.org/obo/UBERON_0001922>	parafascicular nucleus of thalamus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10450>	OK			
parafascicular nucleus	<http://purl.obolibrary.org/obo/UBERON_0001922>	parafascicular nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16442>	OK			
parafascicular nucleus	<http://purl.obolibrary.org/obo/UBERON_0001922>	parafascicular nucleus of the thalamus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4439>	OK			
parafascicular nucleus	<http://purl.obolibrary.org/obo/UBERON_0001922>	parafascicular nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_930>	OK			
paraflocculus	<http://purl.obolibrary.org/obo/UBERON_0005351>	paraflocculus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16945>	OK			
paraflocculus	<http://purl.obolibrary.org/obo/UBERON_0005351>	paraflocculus	<https://purl.brain-bican.org/ontology/mbao/MBA_1041>	OK			
paragigantocellular nucleus	<http://purl.obolibrary.org/obo/UBERON_0016635>	paragigantocellular nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12626>	OK			
paragigantocellular nucleus	<http://purl.obolibrary.org/obo/UBERON_0016635>	paragigantocellular reticular nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_938>	OK			
parahippocampal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002973>	parahippocampal gyrus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12162>	OK			
parahippocampal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002973>	parahippocampal gyrus	<https://purl.brain-bican.org/ontology/hbao/HBA_4242>	OK			
paramedian lobule	<http://purl.obolibrary.org/obo/UBERON_0005349>	lobule VIIIB (pyramis and biventral lobule, posterior part)	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12850>	OK			
paramedian lobule	<http://purl.obolibrary.org/obo/UBERON_0005349>	paramedian lobule	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16943>	OK			
paramedian lobule	<http://purl.obolibrary.org/obo/UBERON_0005349>	VIIIB	<https://purl.brain-bican.org/ontology/hbao/HBA_12942>	OK			
paramedian lobule	<http://purl.obolibrary.org/obo/UBERON_0005349>	paramedian lobule	<https://purl.brain-bican.org/ontology/mbao/MBA_1025>	OK			
paramedian reticular nucleus	<http://purl.obolibrary.org/obo/UBERON_0007764>	paramedian reticular nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12496>	OK			
paramedian reticular nucleus	<http://purl.obolibrary.org/obo/UBERON_0007764>	paramedian reticular nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_995>	OK			
paranigral nucleus	<http://purl.obolibrary.org/obo/UBERON_0013737>	paranigral nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12265>	OK			
paranigral nucleus	<http://purl.obolibrary.org/obo/UBERON_0013737>	paranigral nucleus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_9474>	OK			
parasolitary nucleus	<http://purl.obolibrary.org/obo/UBERON_0002877>	parasolitary nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12571>	OK			
parasolitary nucleus	<http://purl.obolibrary.org/obo/UBERON_0002877>	parasolitary nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_859>	OK			
parasubiculum	<http://purl.obolibrary.org/obo/UBERON_0004683>	parasubicular cortex (parasubiculum)	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10316>	OK			
parasubiculum	<http://purl.obolibrary.org/obo/UBERON_0004683>	parasubiculum	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16186>	OK			
parasubiculum	<http://purl.obolibrary.org/obo/UBERON_0004683>	parasubiculum, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4253>	OK			
parasubiculum	<http://purl.obolibrary.org/obo/UBERON_0004683>	parasubiculum	<https://purl.brain-bican.org/ontology/mbao/MBA_843>	OK			
paratenial nucleus	<http://purl.obolibrary.org/obo/UBERON_0002992>	parataenial nucleus of thalamus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10404>	OK			
paratenial nucleus	<http://purl.obolibrary.org/obo/UBERON_0002992>	paratenial nucleus	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16410>	OK			
paratenial nucleus	<http://purl.obolibrary.org/obo/UBERON_0002992>	parataenial nucleus of the thalamus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4405>	OK			
paratenial nucleus	<http://purl.obolibrary.org/obo/UBERON_0002992>	parataenial nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_15>	OK			
paraterminal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002603>	paraterminal gyrus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12161>	OK			
paraterminal gyrus	<http://purl.obolibrary.org/obo/UBERON_0002603>	paraterminal gyrus	<https://purl.brain-bican.org/ontology/hbao/HBA_4065>	OK			
paratrigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0016832>	paratrigeminal nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12656>	OK			
paratrigeminal nucleus	<http://purl.obolibrary.org/obo/UBERON_0016832>	paratrigeminal nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_9630>	OK			
paraventricular nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0001930>	paraventricular nucleus of hypothalamus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10476>	OK			
paraventricular nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0001930>	paraventricular nucleus of the hypothalamus	<https://purl.brain-bican.org/ontology/hbao/HBA_12905>	OK			
paraventricular nucleus of hypothalamus	<http://purl.obolibrary.org/obo/UBERON_0001930>	paraventricular hypothalamic nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_38>	OK			
paraventricular nucleus of thalamus	<http://purl.obolibrary.org/obo/UBERON_0001920>	paraventricular nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10457>	OK			
paraventricular nucleus of thalamus	<http://purl.obolibrary.org/obo/UBERON_0001920>	paraventricular nuclei of thalamus	<https://purl.brain-bican.org/ontology/hbao/HBA_4533>	OK			
paraventricular nucleus of thalamus	<http://purl.obolibrary.org/obo/UBERON_0001920>	paraventricular nucleus of the thalamus	<https://purl.brain-bican.org/ontology/mbao/MBA_149>	OK			
paraventricular nucleus of the hypothalamus descending division	<http://purl.obolibrary.org/obo/UBERON_0014602>	descending division of paraventricular nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10477>	OK			
paraventricular nucleus of the hypothalamus descending division	<http://purl.obolibrary.org/obo/UBERON_0014602>	paraventricular nucleus of the hypothalamus, left, descending division	<https://purl.brain-bican.org/ontology/hbao/HBA_4575>	OK			
paraventricular nucleus of the hypothalamus descending division	<http://purl.obolibrary.org/obo/UBERON_0014602>	paraventricular hypothalamic nucleus, descending division	<https://purl.brain-bican.org/ontology/mbao/MBA_63>	OK			
paraventricular nucleus of the hypothalamus descending division - dorsal parvicellular part	<http://purl.obolibrary.org/obo/UBERON_0014596>	paraventricular nucleus of the hypothalamus, left, descending division, dorsal parvicellular part	<https://purl.brain-bican.org/ontology/hbao/HBA_4577>	OK			
paraventricular nucleus of the hypothalamus descending division - dorsal parvicellular part	<http://purl.obolibrary.org/obo/UBERON_0014596>	paraventricular hypothalamic nucleus, descending division, dorsal parvicellular part	<https://purl.brain-bican.org/ontology/mbao/MBA_439>	OK			
paraventricular nucleus of the hypothalamus descending division - forniceal part	<http://purl.obolibrary.org/obo/UBERON_0014598>	paraventricular nucleus of the hypothalamus, left, descending division, forniceal part	<https://purl.brain-bican.org/ontology/hbao/HBA_4579>	OK			
paraventricular nucleus of the hypothalamus descending division - forniceal part	<http://purl.obolibrary.org/obo/UBERON_0014598>	paraventricular hypothalamic nucleus, descending division, forniceal part	<https://purl.brain-bican.org/ontology/mbao/MBA_447>	OK			
paraventricular nucleus of the hypothalamus descending division - lateral parvicellular part	<http://purl.obolibrary.org/obo/UBERON_0014597>	paraventricular nucleus of the hypothalamus, left, descending division, lateral parvicellular part	<https://purl.brain-bican.org/ontology/hbao/HBA_4578>	OK			
paraventricular nucleus of the hypothalamus descending division - lateral parvicellular part	<http://purl.obolibrary.org/obo/UBERON_0014597>	paraventricular hypothalamic nucleus, descending division, lateral parvicellular part	<https://purl.brain-bican.org/ontology/mbao/MBA_455>	OK			
paraventricular nucleus of the hypothalamus descending division - medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/UBERON_0014595>	paraventricular nucleus of the hypothalamus, left, descending division, medial parvicellular part, ventral zone	<https://purl.brain-bican.org/ontology/hbao/HBA_4576>	OK			
paraventricular nucleus of the hypothalamus descending division - medial parvicellular part, ventral zone	<http://purl.obolibrary.org/obo/UBERON_0014595>	paraventricular hypothalamic nucleus, descending division, medial parvicellular part, ventral zone	<https://purl.brain-bican.org/ontology/mbao/MBA_464>	OK			
paraventricular nucleus of the hypothalamus magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0014603>	magnocellular division of paraventricular nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10478>	OK			
paraventricular nucleus of the hypothalamus magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0014603>	paraventricular nucleus of the hypothalamus, left, magnocellular division	<https://purl.brain-bican.org/ontology/hbao/HBA_4580>	OK			
paraventricular nucleus of the hypothalamus magnocellular division	<http://purl.obolibrary.org/obo/UBERON_0014603>	paraventricular hypothalamic nucleus, magnocellular division	<https://purl.brain-bican.org/ontology/mbao/MBA_71>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - anterior magnocellular part	<http://purl.obolibrary.org/obo/UBERON_0014599>	paraventricular nucleus of the hypothalamus, left, magnocellular division, anterior magnocellular part	<https://purl.brain-bican.org/ontology/hbao/HBA_4581>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - anterior magnocellular part	<http://purl.obolibrary.org/obo/UBERON_0014599>	paraventricular hypothalamic nucleus, magnocellular division, anterior magnocellular part	<https://purl.brain-bican.org/ontology/mbao/MBA_47>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - medial magnocellular part	<http://purl.obolibrary.org/obo/UBERON_0014600>	paraventricular nucleus of the hypothalamus, left, magnocellular division, medial magnocellular part	<https://purl.brain-bican.org/ontology/hbao/HBA_4582>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - medial magnocellular part	<http://purl.obolibrary.org/obo/UBERON_0014600>	paraventricular hypothalamic nucleus, magnocellular division, medial magnocellular part	<https://purl.brain-bican.org/ontology/mbao/MBA_79>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part	<http://purl.obolibrary.org/obo/UBERON_0014601>	paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part	<https://purl.brain-bican.org/ontology/hbao/HBA_4583>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part	<http://purl.obolibrary.org/obo/UBERON_0014601>	paraventricular hypothalamic nucleus, magnocellular division, posterior magnocellular part	<https://purl.brain-bican.org/ontology/mbao/MBA_103>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part lateral zone	<http://purl.obolibrary.org/obo/UBERON_0022791>	paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, lateral zone	<https://purl.brain-bican.org/ontology/hbao/HBA_4585>	OK			
paraventricular nucleus of the hypothalamus magnocellular division - posterior magnocellular part medial zone	<http://purl.obolibrary.org/obo/UBERON_0022783>	paraventricular nucleus of the hypothalamus, left, magnocellular division, posterior magnocellular part, medial zone	<https://purl.brain-bican.org/ontology/hbao/HBA_4584>	OK			
paraventricular nucleus of the hypothalamus parvicellular division	<http://purl.obolibrary.org/obo/UBERON_0014604>	parvicellular division of paraventricular nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10479>	OK			
paraventricular nucleus of the hypothalamus parvicellular division	<http://purl.obolibrary.org/obo/UBERON_0014604>	paraventricular nucleus of the hypothalamus, left, parvicellular division	<https://purl.brain-bican.org/ontology/hbao/HBA_4586>	OK			
paraventricular nucleus of the hypothalamus parvicellular division	<http://purl.obolibrary.org/obo/UBERON_0014604>	paraventricular hypothalamic nucleus, parvicellular division	<https://purl.brain-bican.org/ontology/mbao/MBA_94>	OK			
paravermic lobule II	<http://purl.obolibrary.org/obo/UBERON_0028918>	I-II, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4717>	OK			
paravermic lobule III	<http://purl.obolibrary.org/obo/UBERON_0028919>	III, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4718>	OK			
paravermic lobule IV	<http://purl.obolibrary.org/obo/UBERON_0028920>	IV, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4719>	OK			
paravermic lobule IX	<http://purl.obolibrary.org/obo/UBERON_0028921>	IX, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4728>	OK			
paravermic lobule V	<http://purl.obolibrary.org/obo/UBERON_0028922>	V, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4720>	OK			
paravermic lobule VI	<http://purl.obolibrary.org/obo/UBERON_0028923>	VI, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4722>	OK			
paravermic lobule X	<http://purl.obolibrary.org/obo/UBERON_0036043>	paravermis, flocculonodular lobe portion	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12389>	OK			
paravermic lobule X	<http://purl.obolibrary.org/obo/UBERON_0036043>	X, left, paravermis	<https://purl.brain-bican.org/ontology/hbao/HBA_4730>	OK			
paravermis lobule area	<http://purl.obolibrary.org/obo/UBERON_0027285>	paravermis of cerebellum	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12384>	OK			
paravermis of the anterior lobe of the cerebellum	<http://purl.obolibrary.org/obo/UBERON_0027310>	paravermis, anterior lobe portion	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12385>	OK			
paravermis of the posterior lobe of the cerebellum	<http://purl.obolibrary.org/obo/UBERON_0027309>	paravermis, posterior lobe portion	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12386>	OK			
parietal cortex	<http://purl.obolibrary.org/obo/UBERON_0016530>	parietal neocortex	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10208>	OK			
parietal cortex	<http://purl.obolibrary.org/obo/UBERON_0016530>	parietal cortex	<https://purl.brain-bican.org/ontology/dmbao/DMBA_16016>	OK			
parietal lobe	<http://purl.obolibrary.org/obo/UBERON_0001872>	parietal lobe	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12131>	OK			
parietal lobe	<http://purl.obolibrary.org/obo/UBERON_0001872>	parietal lobe	<https://purl.brain-bican.org/ontology/hbao/HBA_4084>	OK			
parietal operculum	<http://purl.obolibrary.org/obo/UBERON_0002911>	parietal operculum	<https://purl.brain-bican.org/ontology/dhbao/DHBA_13230>	OK			
parieto-occipital sulcus	<http://purl.obolibrary.org/obo/UBERON_0002695>	parietooccipital fissure	<https://purl.brain-bican.org/ontology/dhbao/DHBA_10626>	OK			
parieto-occipital sulcus	<http://purl.obolibrary.org/obo/UBERON_0002695>	parieto-occipital sulcus	<https://purl.brain-bican.org/ontology/hbao/HBA_9392>	OK			
pars postrema of ventral lateral nucleus	<http://purl.obolibrary.org/obo/UBERON_0002617>	ventrolateral preoptic nucleus	https://purl.brain-bican.org/ontology/dmbao/DMBA_15612	nok		Add Term	To add
pars postrema of ventral lateral nucleus	<http://purl.obolibrary.org/obo/UBERON_0002617>	ventral lateral posterior nucleus of the thalamus, left	<https://purl.brain-bican.org/ontology/hbao/HBA_4423>	OK			
pars postrema of ventral lateral nucleus	<http://purl.obolibrary.org/obo/UBERON_0002617>	ventrolateral preoptic nucleus	https://purl.brain-bican.org/ontology/mbao/MBA_689	nok		Add Term	To add
parvicellular part of medial dorsal nucleus	<http://purl.obolibrary.org/obo/UBERON_0002654>	ventral anterior nucleus of the thalamus, left, principal division	<https://purl.brain-bican.org/ontology/hbao/HBA_4419>	OK			
parvicellular part of ventral posteromedial nucleus	<http://purl.obolibrary.org/obo/UBERON_0003018>	parvocellular division of VPM	<https://purl.brain-bican.org/ontology/dhbao/DHBA_146034766>	OK			
parvicellular part of ventral posteromedial nucleus	<http://purl.obolibrary.org/obo/UBERON_0003018>	ventral posteromedial nucleus of the thalamus, parvicellular part	<https://purl.brain-bican.org/ontology/mbao/MBA_741>	OK			
parvocellular layer of dorsal nucleus of lateral geniculate body	<http://purl.obolibrary.org/obo/UBERON_0013607>	dorsal lateral geniculate nucleus, parvocellular layers	<https://purl.brain-bican.org/ontology/pbao/PBA_128013091>	OK			
parvocellular oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002141>	parvicellular oculomotor nucleus	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12219>	OK			
parvocellular oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002141>	Edinger-Westphal nucleus	<https://purl.brain-bican.org/ontology/hbao/HBA_9449>	OK			
parvocellular oculomotor nucleus	<http://purl.obolibrary.org/obo/UBERON_0002141>	edinger-Westphal nucleus	<https://purl.brain-bican.org/ontology/mbao/MBA_975>	OK			
parvocellular part of red nucleus	<http://purl.obolibrary.org/obo/UBERON_0002938>	red nucleus, parvicellular part	<https://purl.brain-bican.org/ontology/dhbao/DHBA_12250>	OK			
